time,addr,symbol,mint_auth,freeze_auth,top1,top5,top10,top10_ex1
2026-07-13 08:28,upaEuL4zDnQUVy9bDToA63fPqHnBoVWoLEkKVWgcBLA,UPA,False,False,2.0,6.1,11.2,10.2
2026-07-13 09:23,3DHuqH3yb7HAxBTebcMfjT1fMHbfNUAGB7TGYBQkpump,MEGABISON,False,False,9.9,10.7,11.7,1.9
2026-07-13 09:31,6Zh8GM7d5KPUC3d6e7UJwBt4vubNUmx8DChXFQ6Cpump,Kading,False,False,24.1,37.3,52.5,30.8
2026-07-13 09:50,C4Ta6n4UxdC7jekQuCMNn9AonWqZRRbVdPqWXgdHpump,Wukong,False,False,12.8,21.8,31.0,19.8
2026-07-13 09:59,8cAx91x6BQcdWKXqMf1r26HrYykSVZraEM11s7g2pump,DAFUAN,False,False,27.1,37.8,46.8,21.4
2026-07-13 10:05,8jXPjts8VQbsBjtzXBVyLdtxUC4hr8xj1X7A7w5Qpump,Sam Neill,False,False,7.2,10.4,14.1,7.6
2026-07-13 10:19,6FCkWr7U5hag4mmZp31u6X7YAFYHMkN6KToErPbBpump,Tater,False,False,18.5,31.2,43.8,27.5
2026-07-13 10:23,DLRf5F8eYnSPvtQqXwUPNKnyKaQx5bStnKLuuEgEpump,LOOTIFY,False,False,21.9,34.5,42.6,21.9
2026-07-13 11:02,7WeP1TmMJqhod7NLYWrNQHfUzMzhxegxuF2j7qdapump,BULLUNC,False,False,14.9,20.7,27.7,14.2
2026-07-13 11:38,6Cn9XH2SCi79Nam7mhH5L1kfwFwPhfresmg6Q4Eipump,baby,False,False,14.8,25.7,35.4,22.1
2026-07-13 13:03,E8GoNCK1dWf7rcHgVstCzZutGLDtisZpjJMT6mLBpump,WINK,False,False,11.8,19.1,25.4,14.3
2026-07-13 13:13,8VEM1Yc4JPFqVwsTcoBKiqAmsUD7xEzCLuDZWXccZGPN,Geeg,False,False,16.0,28.9,40.7,26.9
2026-07-13 13:58,CCP1gfJ8zEuYs8WDA88PhhtEmzrNS7tgXZveedNwpump,Fav glow,False,False,7.6,10.7,14.4,7.6
2026-07-13 14:12,J9xZJtUGU1LRzHPpUfVtJ7p5VMnK14DunPn55PdFpump,WOJAKULL,False,False,9.8,17.3,23.1,14.2
2026-07-13 14:32,5cCNK6jCNAd7LAWqTkyFacpUTqnjpLDH4oz5onTcpump,HAMSTER,False,False,22.2,34.1,42.0,21.1
2026-07-13 14:37,5FwMKQBF2yXNBguNf6eXn35d8QkN4YgdR8coSBw7pump,KARD,False,False,18.8,39.0,58.9,43.7
2026-07-13 14:48,9TH4WrNrmcE4UVfRuyY4ntN7n7eXHBshss9Wm5Cepump,ANUKONG,False,False,10.2,11.2,12.4,2.4
2026-07-13 14:59,BKT3hEUizCg2FKwZ9NrEEUKtEQGyQfyxYcUkkfkepump,SOLRAT,False,False,12.1,43.7,52.1,40.2
2026-07-13 15:00,5XWFwHNTAd5sHFX559r6s7xgSFMATr75A2WKLa47pump,SOLCAT,False,False,17.7,37.9,52.8,38.0
2026-07-13 15:02,A7eGqQDmjouCrgD68BYV9zS9kd2KfSSdZbYRF8D5pump,BELIEVE,False,False,17.8,47.2,57.6,41.3
2026-07-13 15:20,4sfZxsD5qXNQqitaSwTtW7nzj2NkaSzmz5V5xyBfpump,ANSEMHOUSE,False,False,10.6,18.2,25.4,15.9
2026-07-13 15:40,7RtQfXtotnRYhr6cDAXxUjwsXtPfSeESL1gRcDN5pump,CMI6900,False,False,21.7,32.6,44.6,25.0
2026-07-13 15:52,TumVMtYHHMydVdJV5qFoy5bwXU3QFMuLUzF89KPpump,nostalgia,False,False,8.5,11.4,13.9,5.8
2026-07-13 16:05,AU2X23bobj8Kc3Xaw5G4kptYRw3BxXe9E1BHLtGFpump,aaaaa,False,False,12.6,22.4,31.0,19.9
2026-07-13 16:35,SZriK9WPVbggS4xTWgyCcNAjs3ongzeLB3AzAwwpump,Barts,False,False,18.2,26.5,34.8,18.1
2026-07-13 17:12,7nuWZZwKksW3LXxTk3274SQhJLNsz58941MJQU5xpump,DollarBull,False,False,10.3,18.3,26.1,17.0
2026-07-13 17:18,Gsv34W1qcLHMXJRCPDHZYxKUizMozV7An84HuH7Hpump,P250,False,False,13.3,25.3,36.0,24.7
2026-07-13 17:24,DDn5QjgVCHV2vxi9EJycjANAnAucanKwB4dmX54spump,Frog,False,False,29.1,41.5,50.5,22.8
2026-07-13 17:46,3htc6kXDoWX96ARLfArJbHmwX8ynYCaWGB3PdE9bpump,Bulltard,False,False,11.1,18.7,24.9,14.6
2026-07-13 17:54,4CXB7fET9wYsRRhxBYPFjNDA3jijBHVoL7EizanYpump,BULLARC,False,False,11.0,15.4,19.8,9.6
2026-07-13 17:54,F3ySKxJ6Q1Yz3NiJJqVFsDWQmoTreyPAkswiJBNbpump,Karen,False,False,22.7,33.7,43.2,22.3
2026-07-13 18:23,D1s6HTw2UFkPBjsD5KAHxBTZmWzM8CAEMpEL4zGWpump,schizo,False,False,23.9,36.0,47.3,25.5
2026-07-13 18:46,HdNR8VSuxaXBoyFUCiQjvNALeGKxBjtb4WcecoBnpump,BCAT,False,False,28.0,39.3,49.7,23.7
2026-07-13 19:23,3kYD9M5LmiJ3rEsq9NeVm9p2UrvC3zb41Qfr54YQpump,PDOG,False,False,23.4,35.9,45.4,23.5
2026-07-13 19:33,AFsWCqujPkhgrfhKXoeKcdeZGLg3ZfAwzUuYLw9dQEDh,psyopcat,False,False,19.3,31.3,39.4,21.3
2026-07-13 19:55,8bJ2VHrshzcSsFrdQy1JRWMmyzRXSqv6JBNTo872pump,febukong,False,False,8.7,10.2,11.7,3.3
2026-07-13 20:40,CfScUvLFRUmQrRyAavkVjTJM9oDTbSTrAeiMNGyBpump,PULLER,False,False,10.0,49.6,59.1,49.3
2026-07-13 20:48,Nr153XfYC7HfUcSVTafUGWYu8bJXqUMZ2u6ecdWpump,ScreamBull,False,False,9.7,17.4,23.9,15.1
2026-07-13 21:07,B9qXHHggQC3dWhyJuW6QojT4rEqk71Kf3kodhYN1pump,garbage,False,False,23.0,35.8,48.7,27.5
2026-07-13 21:24,5s5GwwaLh8Xq6s3SQYPDyhLH8eL6AN6zkiLQx8zepump,AGE,False,False,25.8,36.3,46.4,22.5
2026-07-13 21:24,BaXX9FXAktUc6wb9ktvSRR2uwQW3zG9QqMVnbo6pump,Sol,False,False,18.4,28.6,36.7,19.8
2026-07-13 21:27,4R8MXfLtRcDUh9EZwzD1ciwiMrpdDabUYdnPf5V7pump,HOOD,False,False,11.6,23.6,31.6,21.4
2026-07-13 21:38,3XHWwZf8KaLtUYUdE2yVyaYR4eXRG7Gk8JU5gJwupump,BULLAN,False,False,10.5,18.5,25.7,16.1
2026-07-13 21:49,5cUhBj1fLteNULGTkoP7nQxGiroVusNbvhzPE9NEpump,fomocat,False,False,24.9,36.4,46.5,23.4
2026-07-13 21:53,BMdzPM7GjKVupEpsqNttRLSiMZfkNpff32YJoHvRpump,ANSENS,False,False,3.2,10.5,17.7,15.5
2026-07-13 21:53,4CnyTYkkYqSTKVGPQPV4ogxdW4pT31jtoKtLSKdGpump,RICKIE,False,False,12.9,23.5,32.0,20.3
2026-07-13 22:12,FyCiT1uzgWPuryg2hVusd6debeQSauGKP3aHnXKopump,CashDog,False,False,26.5,39.8,47.6,22.3
2026-07-13 22:26,GvQhmwjt9rr73hE3jvMWezJm41a1oG1jc1TV3jvupump,CashDog,False,False,15.2,26.7,37.4,23.9
2026-07-13 22:49,8aHr7SrNGLgzXn2avsXMJfL5eu94UhYkg3UN2JUXcWXy,PUMPFUN,False,False,17.7,29.6,41.2,25.5
2026-07-13 23:03,2Yy9egf9fnJCeDPrunjgCJseSH2axagQ8mUmdMWipump,PCAT,False,False,10.1,11.1,12.0,2.1
2026-07-13 23:09,Cr2jW13TkLiFAgbGJ9YNAeQsJaRg1EQ4bcn9xk5Upump,NASGOD,False,False,29.0,62.5,73.7,46.5
2026-07-14 00:33,FNNV23SsY3BYEPe4PzjU4h4PeJ4YAR8JJ9kngPyUpump,Unity,False,False,25.2,46.4,52.3,28.1
2026-07-14 01:05,3gXwEpMYJeyK1DdAUPx3VZ8GmFhgpEvLPy3o4hEUbonk,DREAM,False,False,26.3,37.7,47.7,23.2
2026-07-14 01:14,84ENt57k6B7mmEXktCQ9WupyLDBiyJcfZcqzdHQApump,irlguys,False,False,23.8,34.6,42.6,20.2
2026-07-14 01:19,7rfQDn4agmFSomupRJdwFMSj3QtWghRLtCH5oXzGpump,freg,False,False,15.0,23.3,30.3,16.4
2026-07-14 01:35,Gwc5iT3jivY9PNAEb7K8n8EhZ7PAa1r8sCcf9eT1resm,CatCoin,False,False,25.9,38.2,50.8,27.1
2026-07-14 01:36,9oDndFiC7RW42vZcmSzacTKMWE9kgeqnzwXDGLSkpump,brain,False,False,6.1,18.4,27.4,22.6
2026-07-14 01:43,8X1N2HmiP11UXidmyRNHLoBGjAhXU4rk5GnrVYGYpump,BlackBear,False,False,8.3,29.8,43.6,37.2
2026-07-14 01:49,2SQDPtSrEEsLMngbjex67o7VnQzBpVLmwF1uEEN2pump,SAPPHIRE,False,False,12.6,19.9,28.0,16.9
2026-07-14 01:59,Fzao43KxhdcVHQLzJgea7pKfQburGSxEdvQpcxiNpump,BLACKPEPE,False,False,10.1,17.9,24.3,15.1
