time,sector,symbol,score,price,fear_greed,put_call,held,running
2026-07-26 06:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 06:07:02,crypto,IBIT,-1.23,36.35,26,0.99,0,True
2026-07-26 07:07:02,energy,XLE,-0.23,59.61,26,0.99,1,True
2026-07-26 07:07:02,oil,XOP,-4.56,174.13,26,0.99,0,True
2026-07-26 07:07:02,industry,XLI,-2.61,182.63,26,0.99,0,True
2026-07-26 07:07:02,steel,SLX,-2.61,103.54,26,0.99,0,True
2026-07-26 07:07:02,defense,ITA,-8.32,240.2,26,0.99,0,True
2026-07-26 07:07:02,finance,XLF,6.65,56.325,26,0.99,0,True
2026-07-26 07:07:02,tech,XLK,1.49,175.93,26,0.99,0,True
2026-07-26 07:07:02,gold,GLD,7.16,371.87,26,0.99,0,True
2026-07-26 07:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 07:07:02,crypto,IBIT,-1.65,36.35,26,0.99,0,True
2026-07-26 08:07:01,energy,XLE,-1.48,59.61,26,0.99,1,True
2026-07-26 08:07:01,oil,XOP,-4.94,174.13,26,0.99,0,True
2026-07-26 08:07:01,industry,XLI,-3.74,182.63,26,0.99,0,True
2026-07-26 08:07:01,steel,SLX,-3.74,103.54,26,0.99,0,True
2026-07-26 08:07:01,defense,ITA,-4.91,240.2,26,0.99,0,True
2026-07-26 08:07:01,finance,XLF,5.95,56.325,26,0.99,0,True
2026-07-26 08:07:01,tech,XLK,4.15,175.93,26,0.99,0,True
2026-07-26 08:07:01,gold,GLD,7.16,371.87,26,0.99,0,True
2026-07-26 08:07:01,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 08:07:01,crypto,IBIT,-1.23,36.35,26,0.99,0,True
2026-07-26 09:07:02,energy,XLE,-0.77,59.61,26,0.99,1,True
2026-07-26 09:07:02,oil,XOP,-4.48,174.13,26,0.99,0,True
2026-07-26 09:07:02,industry,XLI,-3.74,182.63,26,0.99,0,True
2026-07-26 09:07:02,steel,SLX,-3.74,103.54,26,0.99,0,True
2026-07-26 09:07:02,defense,ITA,-6.91,240.2,26,0.99,0,True
2026-07-26 09:07:02,finance,XLF,6.57,56.325,26,0.99,0,True
2026-07-26 09:07:02,tech,XLK,2.05,175.93,26,0.99,0,True
2026-07-26 09:07:02,gold,GLD,7.79,371.87,26,0.99,0,True
2026-07-26 09:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 09:07:02,crypto,IBIT,-1.23,36.35,26,0.99,0,True
2026-07-26 10:07:01,energy,XLE,-0.77,59.61,26,0.99,1,True
2026-07-26 10:07:01,oil,XOP,-4.48,174.13,26,0.99,0,True
2026-07-26 10:07:01,industry,XLI,-3.03,182.63,26,0.99,0,True
2026-07-26 10:07:01,steel,SLX,-3.03,103.54,26,0.99,0,True
2026-07-26 10:07:01,defense,ITA,-6.91,240.2,26,0.99,0,True
2026-07-26 10:07:01,finance,XLF,10.05,56.325,26,0.99,0,True
2026-07-26 10:07:01,tech,XLK,3.63,175.93,26,0.99,0,True
2026-07-26 10:07:01,gold,GLD,9.37,371.87,26,0.99,0,True
2026-07-26 10:07:01,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 10:07:01,crypto,IBIT,-1.23,36.35,26,0.99,0,True
2026-07-26 11:07:01,energy,XLE,-1.48,59.61,26,0.99,1,True
2026-07-26 11:07:01,oil,XOP,-4.94,174.13,26,0.99,0,True
2026-07-26 11:07:01,industry,XLI,-2.83,182.63,26,0.99,0,True
2026-07-26 11:07:01,steel,SLX,-2.83,103.54,26,0.99,0,True
2026-07-26 11:07:01,defense,ITA,-4.81,240.2,26,0.99,0,True
2026-07-26 11:07:01,finance,XLF,10.66,56.325,26,0.99,0,True
2026-07-26 11:07:01,tech,XLK,1.5,175.93,26,0.99,0,True
2026-07-26 11:07:01,gold,GLD,9.79,371.87,26,0.99,0,True
2026-07-26 11:07:01,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 11:07:01,crypto,IBIT,-1.23,36.35,26,0.99,0,True
2026-07-26 12:07:02,energy,XLE,-1.48,59.61,26,0.99,1,True
2026-07-26 12:07:02,oil,XOP,-4.94,174.13,26,0.99,0,True
2026-07-26 12:07:02,industry,XLI,-2.83,182.63,26,0.99,0,True
2026-07-26 12:07:02,steel,SLX,-2.83,103.54,26,0.99,0,True
2026-07-26 12:07:02,defense,ITA,-4.81,240.2,26,0.99,0,True
2026-07-26 12:07:02,finance,XLF,10.66,56.325,26,0.99,0,True
2026-07-26 12:07:02,tech,XLK,2.54,175.93,26,0.99,0,True
2026-07-26 12:07:02,gold,GLD,9.79,371.87,26,0.99,0,True
2026-07-26 12:07:02,infra,PAVE,1.4,57.69,26,0.99,1,True
2026-07-26 12:07:02,crypto,IBIT,-1.23,36.35,26,0.99,0,True
2026-07-26 13:07:02,energy,XLE,-1.96,59.61,26,0.99,1,True
2026-07-26 13:07:02,oil,XOP,-5.98,174.13,26,0.99,0,True
2026-07-26 13:07:02,industry,XLI,-2.83,182.63,26,0.99,0,True
2026-07-26 13:07:02,steel,SLX,-2.83,103.54,26,0.99,0,True
2026-07-26 13:07:02,defense,ITA,-7.77,240.2,26,0.99,0,True
2026-07-26 13:07:02,finance,XLF,9.69,56.325,26,0.99,0,True
2026-07-26 13:07:02,tech,XLK,-0.08,175.93,26,0.99,0,True
2026-07-26 13:07:02,gold,GLD,9.99,371.87,26,0.99,0,True
2026-07-26 13:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 13:07:02,crypto,IBIT,-1.23,36.35,26,0.99,0,True
2026-07-26 14:07:02,energy,XLE,-2.33,59.61,26,0.99,1,True
2026-07-26 14:07:02,oil,XOP,-6.84,174.13,26,0.99,0,True
2026-07-26 14:07:02,industry,XLI,-2.83,182.63,26,0.99,0,True
2026-07-26 14:07:02,steel,SLX,-2.83,103.54,26,0.99,0,True
2026-07-26 14:07:02,defense,ITA,-7.28,240.2,26,0.99,0,True
2026-07-26 14:07:02,finance,XLF,12.21,56.325,26,0.99,0,True
2026-07-26 14:07:02,tech,XLK,-2.06,175.93,26,0.99,0,True
2026-07-26 14:07:02,gold,GLD,12.99,371.87,26,0.99,0,True
2026-07-26 14:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 14:07:02,crypto,IBIT,-1.23,36.35,26,0.99,0,True
2026-07-26 15:07:01,energy,XLE,0.93,59.61,26,0.99,1,True
2026-07-26 15:07:01,oil,XOP,-2.97,174.13,26,0.99,0,True
2026-07-26 15:07:01,industry,XLI,-2.51,182.63,26,0.99,0,True
2026-07-26 15:07:01,steel,SLX,-2.51,103.54,26,0.99,0,True
2026-07-26 15:07:01,defense,ITA,-4.16,240.2,26,0.99,0,True
2026-07-26 15:07:01,finance,XLF,11.79,56.325,26,0.99,0,True
2026-07-26 15:07:01,tech,XLK,1.12,175.93,26,0.99,0,True
2026-07-26 15:07:01,gold,GLD,12.6,371.87,26,0.99,0,True
2026-07-26 15:07:01,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 15:07:01,crypto,IBIT,-1.23,36.35,26,0.99,0,True
2026-07-26 16:07:02,energy,XLE,0.93,59.61,26,0.99,1,True
2026-07-26 16:07:02,oil,XOP,-2.97,174.13,26,0.99,0,True
2026-07-26 16:07:02,industry,XLI,-2.51,182.63,26,0.99,0,True
2026-07-26 16:07:02,steel,SLX,-2.51,103.54,26,0.99,0,True
2026-07-26 16:07:02,defense,ITA,-3.12,240.2,26,0.99,0,True
2026-07-26 16:07:02,finance,XLF,11.79,56.325,26,0.99,0,True
2026-07-26 16:07:02,tech,XLK,2.95,175.93,26,0.99,0,True
2026-07-26 16:07:02,gold,GLD,12.6,371.87,26,0.99,0,True
2026-07-26 16:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 16:07:02,crypto,IBIT,-1.23,36.35,26,0.99,0,True
2026-07-26 17:07:01,energy,XLE,1.59,59.61,26,0.99,1,True
2026-07-26 17:07:01,oil,XOP,-2.31,174.13,26,0.99,0,True
2026-07-26 17:07:01,industry,XLI,-2.51,182.63,26,0.99,0,True
2026-07-26 17:07:01,steel,SLX,-2.51,103.54,26,0.99,0,True
2026-07-26 17:07:01,defense,ITA,-5.25,240.2,26,0.99,0,True
2026-07-26 17:07:01,finance,XLF,13.56,56.325,26,0.99,0,True
2026-07-26 17:07:01,tech,XLK,5.23,175.93,26,0.99,0,True
2026-07-26 17:07:01,gold,GLD,13.54,371.87,26,0.99,0,True
2026-07-26 17:07:01,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 17:07:01,crypto,IBIT,0.4,36.35,26,0.99,0,True
2026-07-26 18:07:01,energy,XLE,1.56,59.61,26,0.99,1,True
2026-07-26 18:07:01,oil,XOP,-2.34,174.13,26,0.99,0,True
2026-07-26 18:07:01,industry,XLI,-2.51,182.63,26,0.99,0,True
2026-07-26 18:07:01,steel,SLX,-2.51,103.54,26,0.99,0,True
2026-07-26 18:07:01,defense,ITA,-4.65,240.2,26,0.99,0,True
2026-07-26 18:07:01,finance,XLF,14.1,56.325,26,0.99,0,True
2026-07-26 18:07:01,tech,XLK,4.1,175.93,26,0.99,0,True
2026-07-26 18:07:01,gold,GLD,13.68,371.87,26,0.99,0,True
2026-07-26 18:07:01,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 18:07:01,crypto,IBIT,0.0,36.35,26,0.99,0,True
2026-07-26 19:07:02,energy,XLE,0.93,59.61,26,0.99,1,True
2026-07-26 19:07:02,oil,XOP,-2.97,174.13,26,0.99,0,True
2026-07-26 19:07:02,industry,XLI,-2.51,182.63,26,0.99,0,True
2026-07-26 19:07:02,steel,SLX,-2.51,103.54,26,0.99,0,True
2026-07-26 19:07:02,defense,ITA,-5.56,240.2,26,0.99,0,True
2026-07-26 19:07:02,finance,XLF,13.96,56.325,26,0.99,0,True
2026-07-26 19:07:02,tech,XLK,2.93,175.93,26,0.99,0,True
2026-07-26 19:07:02,gold,GLD,13.54,371.87,26,0.99,0,True
2026-07-26 19:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 19:07:02,crypto,IBIT,0.0,36.35,26,0.99,0,True
2026-07-26 20:07:01,energy,XLE,0.93,59.61,26,0.99,1,True
2026-07-26 20:07:01,oil,XOP,-2.97,174.13,26,0.99,0,True
2026-07-26 20:07:01,industry,XLI,-2.51,182.63,26,0.99,0,True
2026-07-26 20:07:01,steel,SLX,-2.51,103.54,26,0.99,0,True
2026-07-26 20:07:01,defense,ITA,-4.65,240.2,26,0.99,0,True
2026-07-26 20:07:01,finance,XLF,13.96,56.325,26,0.99,0,True
2026-07-26 20:07:01,tech,XLK,3.04,175.93,26,0.99,0,True
2026-07-26 20:07:01,gold,GLD,13.54,371.87,26,0.99,0,True
2026-07-26 20:07:01,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 20:07:01,crypto,IBIT,0.0,36.35,26,0.99,0,True
2026-07-26 21:07:02,energy,XLE,0.55,59.61,26,0.99,1,True
2026-07-26 21:07:02,oil,XOP,-3.35,174.13,26,0.99,0,True
2026-07-26 21:07:02,industry,XLI,-2.51,182.63,26,0.99,0,True
2026-07-26 21:07:02,steel,SLX,-2.51,103.54,26,0.99,0,True
2026-07-26 21:07:02,defense,ITA,-5.07,240.2,26,0.99,0,True
2026-07-26 21:07:02,finance,XLF,13.96,56.325,26,0.99,0,True
2026-07-26 21:07:02,tech,XLK,2.2,175.93,26,0.99,0,True
2026-07-26 21:07:02,gold,GLD,13.54,371.87,26,0.99,0,True
2026-07-26 21:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 21:07:02,crypto,IBIT,0.0,36.35,26,0.99,0,True
2026-07-26 22:07:02,energy,XLE,1.88,59.61,26,0.99,1,True
2026-07-26 22:07:02,oil,XOP,-2.68,174.13,26,0.99,0,True
2026-07-26 22:07:02,industry,XLI,-2.51,182.63,26,0.99,0,True
2026-07-26 22:07:02,steel,SLX,-2.51,103.54,26,0.99,0,True
2026-07-26 22:07:02,defense,ITA,-4.46,240.2,26,0.99,0,True
2026-07-26 22:07:02,finance,XLF,15.29,56.325,26,0.99,0,True
2026-07-26 22:07:02,tech,XLK,3.61,175.93,26,0.99,0,True
2026-07-26 22:07:02,gold,GLD,15.53,371.87,26,0.99,0,True
2026-07-26 22:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 22:07:02,crypto,IBIT,0.0,36.35,26,0.99,0,True
2026-07-26 23:07:02,energy,XLE,1.37,59.61,26,0.99,1,True
2026-07-26 23:07:02,oil,XOP,-2.68,174.13,26,0.99,0,True
2026-07-26 23:07:02,industry,XLI,-2.51,182.63,26,0.99,0,True
2026-07-26 23:07:02,steel,SLX,-2.51,103.54,26,0.99,0,True
2026-07-26 23:07:02,defense,ITA,-5.75,240.2,26,0.99,0,True
2026-07-26 23:07:02,finance,XLF,10.72,56.325,26,0.99,0,True
2026-07-26 23:07:02,tech,XLK,1.53,175.93,26,0.99,0,True
2026-07-26 23:07:02,gold,GLD,11.65,371.87,26,0.99,0,True
2026-07-26 23:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-26 23:07:02,crypto,IBIT,0.0,36.35,26,0.99,0,True
2026-07-27 00:07:21,energy,XLE,1.37,,26,0.99,1,True
2026-07-27 00:07:21,oil,XOP,-3.34,,26,0.99,0,True
2026-07-27 00:07:21,industry,XLI,-3.54,,26,0.99,0,True
2026-07-27 00:07:21,steel,SLX,-3.54,,26,0.99,0,True
2026-07-27 00:07:21,defense,ITA,-7.06,,26,0.99,0,True
2026-07-27 00:07:21,finance,XLF,11.25,,26,0.99,0,True
2026-07-27 00:07:21,tech,XLK,2.66,,26,0.99,0,True
2026-07-27 00:07:21,gold,GLD,12.43,,26,0.99,0,True
2026-07-27 00:07:21,infra,PAVE,0.6,,26,0.99,1,True
2026-07-27 00:07:21,crypto,IBIT,0.0,,26,0.99,0,True
2026-07-27 01:07:02,energy,XLE,-1.06,59.61,26,0.99,1,True
2026-07-27 01:07:02,oil,XOP,-7.81,174.13,26,0.99,0,True
2026-07-27 01:07:02,industry,XLI,-3.54,182.63,26,0.99,0,True
2026-07-27 01:07:02,steel,SLX,-3.54,103.54,26,0.99,0,True
2026-07-27 01:07:02,defense,ITA,-7.26,240.2,26,0.99,0,True
2026-07-27 01:07:02,finance,XLF,15.74,56.325,26,0.99,0,True
2026-07-27 01:07:02,tech,XLK,2.42,175.93,26,0.99,0,True
2026-07-27 01:07:02,gold,GLD,16.23,371.87,26,0.99,0,True
2026-07-27 01:07:02,infra,PAVE,0.6,57.69,26,0.99,1,True
2026-07-27 01:07:02,crypto,IBIT,0.0,36.35,26,0.99,0,True
